k,Energy (eV)
0.46969,-9.405145
0.49578,-9.401063
0.52188,-9.396981
0.54797,-9.3929
0.57406,-9.388819
0.60016,-9.384736
0.62625,-9.380654
0.65235,-9.376573
0.67844,-9.372491
0.70453,-9.37113
0.73063,-9.372491
0.75672,-9.372491
,
,
0.0,-9.322149
0.0261,-9.32351
0.05219,-9.324871
0.07828,-9.327592
0.10438,-9.330314
0.13047,-9.331674
0.15656,-9.333035
0.18266,-9.334395
0.20875,-9.335755
0.23485,-9.338477
0.26094,-9.341197
0.28703,-9.345279
0.31313,-9.34664
0.33922,-9.349361
0.36531,-9.352082
0.39141,-9.354804
0.4175,-9.357525
0.4436,-9.358886
0.46969,-9.361607
0.49578,-9.362967
0.52188,-9.364328
0.54797,-9.365688
0.57406,-9.367049
0.60016,-9.368409
0.62625,-9.369769
0.65235,-9.37113
0.67844,-9.37113
0.70453,-9.368409
0.73063,-9.364328
0.75672,-9.362967
,
,
0.0,-9.322149
0.0261,-9.32351
0.05219,-9.324871
0.07828,-9.327592
0.10438,-9.330314
0.13047,-9.331674
0.15656,-9.333035
0.18266,-9.334395
0.20875,-9.335755
0.23485,-9.337116
0.26094,-9.337116
0.28703,-9.337116
0.31313,-9.337116
0.33922,-9.337116
0.36531,-9.335755
0.39141,-9.335755
0.4175,-9.334395
0.4436,-9.333035
0.46969,-9.331674
0.49578,-9.330314
0.52188,-9.330314
0.54797,-9.328953
0.57406,-9.333035
0.60016,-9.335755
0.62625,-9.339837
0.65235,-9.343919
0.67844,-9.348001
0.70453,-9.350721
0.73063,-9.354804
0.75672,-9.356164
,
,
0.0,-9.312626
0.0261,-9.315347
0.05219,-9.318068
0.07828,-9.320789
0.10438,-9.324871
0.13047,-9.327592
0.15656,-9.330314
0.18266,-9.333035
0.20875,-9.335755
0.23485,-9.337116
0.26094,-9.337116
0.28703,-9.337116
0.31313,-9.337116
0.33922,-9.337116
0.36531,-9.335755
0.39141,-9.335755
0.4175,-9.334395
0.4436,-9.333035
0.46969,-9.331674
0.49578,-9.330314
0.52188,-9.330314
0.54797,-9.328953
0.57406,-9.327592
0.60016,-9.326231
0.62625,-9.326231
0.65235,-9.324871
0.67844,-9.324871
0.70453,-9.32351
0.73063,-9.32351
0.75672,-9.32351
,
,
0.0,-9.312626
0.0261,-9.309905
0.05219,-9.307183
0.07828,-9.304462
0.10438,-9.301741
0.13047,-9.29902
0.15656,-9.297659
0.18266,-9.294938
0.20875,-9.293577
0.23485,-9.292216
0.26094,-9.294938
0.28703,-9.297659
0.31313,-9.300381
0.33922,-9.303102
0.36531,-9.305823
0.39141,-9.308544
0.4175,-9.311265
0.4436,-9.315347
0.46969,-9.318068
0.49578,-9.322149
0.52188,-9.324871
0.54797,-9.328953
0.57406,-9.327592
0.60016,-9.326231
0.62625,-9.326231
0.65235,-9.324871
0.67844,-9.324871
0.70453,-9.32351
0.73063,-9.32351
0.75672,-9.32351
,
,
0.0,-9.308544
0.0261,-9.307183
0.05219,-9.304462
0.07828,-9.301741
0.10438,-9.297659
0.13047,-9.293577
0.15656,-9.289495
0.18266,-9.286775
0.20875,-9.289495
0.23485,-9.290856
0.26094,-9.289495
0.28703,-9.288135
0.31313,-9.286775
0.33922,-9.285414
0.36531,-9.284054
0.39141,-9.284054
0.4175,-9.282693
0.4436,-9.282693
0.46969,-9.282693
0.49578,-9.282693
0.52188,-9.282693
0.54797,-9.282693
0.57406,-9.282693
0.60016,-9.282693
0.62625,-9.282693
0.65235,-9.282693
0.67844,-9.284054
0.70453,-9.284054
0.73063,-9.284054
0.75672,-9.284054
,
,
0.0,-9.308544
0.0261,-9.307183
0.05219,-9.304462
0.07828,-9.301741
0.10438,-9.297659
0.13047,-9.293577
0.15656,-9.289495
0.18266,-9.285414
0.20875,-9.281333
0.23485,-9.27725
0.26094,-9.273169
0.28703,-9.269087
0.31313,-9.266366
